Time;Open;Max;Min;Close
02.08.2019 21:59;106.58;106.59;106.57;106.58
02.08.2019 21:58;106.55;106.57;106.55;106.57
02.08.2019 21:57;106.57;106.57;106.56;106.56
02.08.2019 21:56;106.55;106.56;106.55;106.56
02.08.2019 21:55;106.57;106.57;106.56;106.56
02.08.2019 21:54;106.57;106.58;106.56;106.56
02.08.2019 21:53;106.57;106.58;106.57;106.58
02.08.2019 21:52;106.56;106.56;106.56;106.56
02.08.2019 21:51;106.57;106.57;106.56;106.56
02.08.2019 21:50;106.57;106.57;106.56;106.56
02.08.2019 21:49;106.56;106.57;106.56;106.56
02.08.2019 21:48;106.58;106.58;106.56;106.57
02.08.2019 21:47;106.59;106.59;106.57;106.57
02.08.2019 21:46;106.61;106.61;106.60;106.60
02.08.2019 21:45;106.58;106.60;106.58;106.60
02.08.2019 21:44;106.59;106.59;106.59;106.59
02.08.2019 21:43;106.59;106.59;106.58;106.58
02.08.2019 21:42;106.58;106.58;106.58;106.58
02.08.2019 21:41;106.59;106.59;106.58;106.58
02.08.2019 21:40;106.61;106.61;106.60;106.60
02.08.2019 21:39;106.60;106.62;106.60;106.62
02.08.2019 21:38;106.58;106.59;106.58;106.59
02.08.2019 21:37;106.61;106.61;106.59;106.59
02.08.2019 21:36;106.59;106.60;106.59;106.60
02.08.2019 21:35;106.58;106.58;106.58;106.58
02.08.2019 21:34;106.58;106.58;106.58;106.58
02.08.2019 21:33;106.56;106.56;106.56;106.56
02.08.2019 21:32;106.57;106.57;106.57;106.57
02.08.2019 21:31;106.56;106.57;106.56;106.57
02.08.2019 21:30;106.55;106.55;106.55;106.55
02.08.2019 21:29;106.56;106.56;106.54;106.55
02.08.2019 21:28;106.54;106.55;106.54;106.55
02.08.2019 21:27;106.56;106.56;106.55;106.55
02.08.2019 21:26;106.56;106.56;106.55;106.55
02.08.2019 21:25;106.56;106.56;106.55;106.55
02.08.2019 21:24;106.56;106.56;106.55;106.55
02.08.2019 21:23;106.55;106.56;106.54;106.55
02.08.2019 21:22;106.54;106.54;106.53;106.54
02.08.2019 21:21;106.52;106.53;106.52;106.53
02.08.2019 21:20;106.53;106.53;106.53;106.53
02.08.2019 21:19;106.52;106.53;106.52;106.53
02.08.2019 21:18;106.54;106.54;106.53;106.53
02.08.2019 21:17;106.52;106.53;106.52;106.53
02.08.2019 21:16;106.54;106.54;106.53;106.53
02.08.2019 21:15;106.55;106.55;106.55;106.55
02.08.2019 21:14;106.54;106.54;106.54;106.54
02.08.2019 21:13;106.53;106.54;106.53;106.53
02.08.2019 21:12;106.54;106.55;106.54;106.54
02.08.2019 21:11;106.55;106.55;106.55;106.55
02.08.2019 21:10;106.53;106.54;106.53;106.54
02.08.2019 21:09;106.54;106.54;106.54;106.54
02.08.2019 21:08;106.56;106.56;106.55;106.55
02.08.2019 21:07;106.56;106.57;106.55;106.55
02.08.2019 21:06;106.55;106.57;106.55;106.57
02.08.2019 21:05;106.55;106.56;106.55;106.56
02.08.2019 21:04;106.54;106.54;106.53;106.54
02.08.2019 21:03;106.56;106.56;106.55;106.55
02.08.2019 21:02;106.55;106.55;106.55;106.55
02.08.2019 21:01;106.53;106.54;106.53;106.54
02.08.2019 21:00;106.57;106.57;106.54;106.54
02.08.2019 20:59;106.58;106.58;106.58;106.58
02.08.2019 20:58;106.59;106.59;106.59;106.59
02.08.2019 20:57;106.60;106.60;106.58;106.59
02.08.2019 20:56;106.59;106.61;106.59;106.61
02.08.2019 20:55;106.59;106.60;106.59;106.60
02.08.2019 20:54;106.58;106.59;106.58;106.58
02.08.2019 20:53;106.57;106.57;106.57;106.57
02.08.2019 20:52;106.55;106.56;106.55;106.56
02.08.2019 20:51;106.58;106.58;106.56;106.56
02.08.2019 20:50;106.57;106.57;106.56;106.57
02.08.2019 20:49;106.58;106.58;106.56;106.56
02.08.2019 20:48;106.58;106.59;106.57;106.57
02.08.2019 20:47;106.60;106.60;106.57;106.57
02.08.2019 20:46;106.55;106.61;106.55;106.60
02.08.2019 20:45;106.53;106.54;106.53;106.54
02.08.2019 20:44;106.52;106.53;106.52;106.52
02.08.2019 20:43;106.54;106.54;106.53;106.53
02.08.2019 20:42;106.53;106.53;106.53;106.53
02.08.2019 20:41;106.52;106.52;106.52;106.52
02.08.2019 20:40;106.52;106.53;106.52;106.52
02.08.2019 20:39;106.52;106.53;106.52;106.53
02.08.2019 20:38;106.53;106.53;106.53;106.53
02.08.2019 20:37;106.52;106.52;106.52;106.52
02.08.2019 20:36;106.53;106.54;106.53;106.53
02.08.2019 20:35;106.52;106.52;106.52;106.52
02.08.2019 20:34;106.53;106.53;106.53;106.53
02.08.2019 20:33;106.53;106.53;106.53;106.53
02.08.2019 20:32;106.54;106.55;106.54;106.54
02.08.2019 20:31;106.55;106.55;106.55;106.55
02.08.2019 20:30;106.56;106.56;106.55;106.55
02.08.2019 20:29;106.55;106.55;106.55;106.55
02.08.2019 20:28;106.56;106.56;106.56;106.56
02.08.2019 20:27;106.57;106.58;106.57;106.57
02.08.2019 20:26;106.55;106.57;106.55;106.56
02.08.2019 20:25;106.56;106.56;106.56;106.56
02.08.2019 20:24;106.55;106.56;106.54;106.56
02.08.2019 20:23;106.55;106.55;106.54;106.54
02.08.2019 20:22;106.56;106.56;106.56;106.56
02.08.2019 20:21;106.58;106.58;106.56;106.56
02.08.2019 20:20;106.57;106.57;106.56;106.57
02.08.2019 20:19;106.56;106.56;106.55;106.56
02.08.2019 20:18;106.55;106.55;106.55;106.55
02.08.2019 20:17;106.55;106.55;106.54;106.55
02.08.2019 20:16;106.55;106.56;106.55;106.56
02.08.2019 20:15;106.57;106.57;106.56;106.56
02.08.2019 20:14;106.57;106.58;106.57;106.58
02.08.2019 20:13;106.58;106.58;106.58;106.58
02.08.2019 20:12;106.60;106.60;106.57;106.57
02.08.2019 20:11;106.59;106.60;106.59;106.60
02.08.2019 20:10;106.57;106.58;106.57;106.58
02.08.2019 20:09;106.58;106.59;106.58;106.58
02.08.2019 20:08;106.58;106.58;106.57;106.57
02.08.2019 20:07;106.58;106.59;106.58;106.59
02.08.2019 20:06;106.57;106.57;106.57;106.57
02.08.2019 20:05;106.59;106.60;106.58;106.58
02.08.2019 20:04;106.60;106.60;106.59;106.60
02.08.2019 20:03;106.60;106.60;106.59;106.59
02.08.2019 20:02;106.58;106.59;106.58;106.59
02.08.2019 20:01;106.57;106.59;106.56;106.57
02.08.2019 20:00;106.61;106.61;106.57;106.58
